iter	RMSE
0	0.3661574427
1	0.3589320027
2	0.3533706707
3	0.3478577108
4	0.3424571504
5	0.3372154786
6	0.3330506462
7	0.3287880898
8	0.3245038943
9	0.3205755265
10	0.3166542816
11	0.3126127437
12	0.309192943
13	0.3061008637
14	0.3022996272
15	0.2995881663
16	0.296133842
17	0.2937113201
18	0.2915596102
19	0.2896398836
20	0.2875273035
21	0.2854500256
22	0.282719995
23	0.2810518509
24	0.2797988754
25	0.2787451136
26	0.2774903469
27	0.2761132844
28	0.2747913984
29	0.2731618471
30	0.2718984203
31	0.2706998354
32	0.2698036408
33	0.2691473587
34	0.2678043314
35	0.2666199827
36	0.2655153109
37	0.2642697112
38	0.2631776524
39	0.2621940598
40	0.2615947214
41	0.2605713138
42	0.2597102773
43	0.2589622523
44	0.2578167221
45	0.2564686375
46	0.2556607738
47	0.2550521445
48	0.2542821079
49	0.2533912366
50	0.2527691769
51	0.2522939297
52	0.2515213868
53	0.2508762623
54	0.2505059898
55	0.2495430795
56	0.248990182
57	0.2485428585
58	0.2480904817
59	0.2473376127
60	0.2466095242
61	0.2461648559
62	0.2455940991
63	0.2453824569
64	0.244941021
65	0.2446485743
66	0.2442546476
67	0.2438763352
68	0.2431832743
69	0.2426076234
70	0.242213701
71	0.2416888685
72	0.2412345868
73	0.2405778392
74	0.2403209831
75	0.2398437643
76	0.2390930858
77	0.2381868879
78	0.2377982749
79	0.2373107409
80	0.2370009339
81	0.2367511865
82	0.2364830154
83	0.2362433152
84	0.2357761404
85	0.2353639087
86	0.2347297075
87	0.2343878766
88	0.2339331445
89	0.2333496599
90	0.2327894465
91	0.2323323158
92	0.2320660092
93	0.231735453
94	0.2314123393
95	0.2310158703
96	0.2306169258
97	0.2302319239
98	0.2299579457
99	0.2294238902
100	0.229299286
101	0.229063185
102	0.2288550903
103	0.2285364719
104	0.2280915141
105	0.2276369063
106	0.2273161726
107	0.227056338
108	0.2266288733
109	0.2262958069
110	0.2259344249
111	0.2255474947
112	0.225135953
113	0.2248314086
114	0.2245866644
115	0.2242495871
116	0.2241195807
117	0.2237438417
118	0.2234864836
119	0.223206644
120	0.2229039685
121	0.2227436735
122	0.2225425558
123	0.2222975389
124	0.2220808568
125	0.2218729334
126	0.2216869146
127	0.2214305623
128	0.2210608469
129	0.2207362876
130	0.2206307605
131	0.2203000055
132	0.2199520894
133	0.2196522415
134	0.2192999477
135	0.2189705685
136	0.2186864861
137	0.2184633524
138	0.2181830161
139	0.2179610332
140	0.2176994472
141	0.2175538904
142	0.2173133609
143	0.2171211887
144	0.2169137145
145	0.2167737015
146	0.2163664081
147	0.2162580189
148	0.2158903614
149	0.2155637059
150	0.2152368432
151	0.2150658245
152	0.2148745067
153	0.2146184947
154	0.214345114
155	0.2141237587
156	0.2138802827
157	0.2135943821
158	0.2131571509
159	0.2129573371
160	0.2127579026
161	0.2124474537
162	0.2122241283
163	0.2120046503
164	0.211709608
165	0.2116420044
166	0.2114061267
167	0.2110934524
168	0.2108443783
169	0.2106634906
170	0.2103827895
171	0.2101344837
172	0.2097644823
173	0.2095698441
174	0.2092226905
175	0.2089724642
176	0.2087504936
177	0.2085927258
178	0.2082661213
179	0.2078999725
180	0.207588661
181	0.2074288927
182	0.2072854045
183	0.2070752514
184	0.206853101
185	0.2065516199
186	0.2062907807
187	0.2060481874
188	0.2058303819
189	0.2055570104
190	0.2053760207
191	0.2050827674
192	0.2048873778
193	0.2046114537
194	0.2044318154
195	0.2042657202
196	0.2040593934
197	0.2038807755
198	0.2036129574
199	0.2033178724
200	0.2030466515
201	0.2028992032
202	0.2026579673
203	0.2024975393
204	0.2023460527
205	0.2021246848
206	0.2019320136
207	0.2017805122
208	0.2016352731
209	0.2014485476
210	0.2012908285
211	0.2011691978
212	0.2010114648
213	0.2008035394
214	0.2006287886
215	0.2004299303
216	0.2002908839
217	0.200092451
218	0.1999367565
219	0.1997836036
220	0.1996295283
221	0.1994588955
222	0.1993552301
223	0.1991420756
224	0.1989229462
225	0.198696736
226	0.1985424654
227	0.1983141498
228	0.1981524825
229	0.1978960709
230	0.1976601406
231	0.1975005601
232	0.1973401507
233	0.1971006686
234	0.1969296423
235	0.1966753661
236	0.1965852874
237	0.1963409799
238	0.1961247919
239	0.1959219356
240	0.1957228435
241	0.1954982554
242	0.1954088537
243	0.1951539065
244	0.1950245215
245	0.1948821938
246	0.1947042181
247	0.1945197277
248	0.194346159
249	0.1941951242
250	0.193930356
251	0.193800713
252	0.193710741
253	0.1934798506
254	0.1933229216
255	0.1932094914
256	0.1929635031
257	0.1927059078
258	0.1925650058
259	0.1924448578
260	0.192347484
261	0.1922031107
262	0.1919968827
263	0.1918399716
264	0.1916948439
265	0.1914808426
266	0.1913377408
267	0.1911908544
268	0.1910254831
269	0.190820153
270	0.1906610412
271	0.1905027967
272	0.1903608845
273	0.1902606152
274	0.1900356014
275	0.1897895219
276	0.1896554894
277	0.1895387194
278	0.189458292
279	0.1893167565
280	0.1892105955
281	0.189052374
282	0.1888939718
283	0.1887501292
284	0.1885807012
285	0.1883722714
286	0.1882187991
287	0.1880696521
288	0.1878712803
289	0.1877505387
290	0.1876555259
291	0.1875246847
292	0.187383856
293	0.1872630327
294	0.1871906069
295	0.1870500572
296	0.1868264072
297	0.1866417754
298	0.1865150073
299	0.1862876498
300	0.1860689332
301	0.1858908742
302	0.1855976902
303	0.1855142971
304	0.1853600448
305	0.1851966612
306	0.1850749856
307	0.1848891891
308	0.1847892156
309	0.1845971157
310	0.1845046305
311	0.1843231798
312	0.1842292351
313	0.1841037223
314	0.1838806928
315	0.1837646282
316	0.1835710173
317	0.1834103169
318	0.1831562492
319	0.1829062951
320	0.1827837579
321	0.182545622
322	0.1823784177
323	0.1821664904
