iter	Passed	Remaining
0	2	1443
1	5	1332
2	7	1274
3	10	1251
4	12	1244
5	14	1233
6	17	1224
7	19	1204
8	21	1195
9	24	1179
10	26	1167
11	28	1162
12	30	1151
13	33	1151
14	35	1148
15	37	1140
16	39	1135
17	42	1129
18	44	1126
19	46	1121
20	48	1117
21	51	1114
22	53	1108
23	55	1103
24	58	1102
25	60	1095
26	62	1096
27	65	1096
28	67	1096
29	69	1091
30	71	1085
31	74	1082
32	76	1080
33	79	1084
34	81	1086
35	84	1086
36	86	1083
37	88	1078
38	90	1075
39	93	1070
40	95	1067
41	97	1064
42	99	1059
43	101	1055
44	104	1052
45	106	1047
46	108	1046
47	110	1042
48	112	1038
49	114	1033
50	116	1029
51	118	1023
52	120	1019
53	122	1014
54	125	1011
55	127	1008
56	129	1003
57	131	1002
58	133	998
59	135	994
60	137	992
61	139	988
62	142	987
63	144	983
64	146	979
65	148	975
66	150	971
67	152	967
68	154	964
69	156	960
70	158	956
71	160	954
72	162	951
73	164	947
74	166	945
75	169	943
76	171	943
77	173	940
78	176	937
79	178	937
80	181	937
81	183	937
82	185	934
83	187	931
84	190	931
85	193	929
86	195	929
87	198	929
88	200	927
89	203	925
90	205	923
91	207	921
92	210	920
93	212	919
94	215	917
95	217	915
96	219	913
97	221	910
98	224	909
99	227	909
100	229	907
101	232	905
102	234	903
103	236	900
104	238	897
105	241	897
106	243	895
107	246	895
108	249	893
109	251	891
110	253	889
111	256	887
112	258	886
113	261	884
114	263	883
115	266	882
116	269	881
117	271	879
118	274	877
119	276	876
120	279	873
121	281	871
122	283	870
123	286	867
124	288	864
125	290	861
126	292	859
127	294	856
128	297	854
129	299	852
130	301	849
131	303	846
132	305	843
133	307	840
134	309	837
135	311	834
136	313	831
137	316	829
138	318	826
139	320	823
140	322	821
141	324	818
142	326	815
143	328	812
144	331	810
145	333	808
146	335	806
147	338	803
148	340	801
149	342	799
150	344	797
151	347	795
152	349	792
153	351	790
154	353	787
155	355	784
156	358	782
157	360	779
158	362	777
159	364	775
160	366	772
161	369	770
162	371	767
163	373	764
164	375	762
165	377	760
166	380	758
167	382	755
168	384	753
169	386	750
170	388	748
171	391	745
172	393	743
173	395	740
174	398	739
175	400	736
176	402	734
177	404	732
178	407	730
179	409	728
180	411	725
181	413	722
182	415	719
183	417	717
184	419	714
185	421	711
186	423	708
187	425	705
188	427	703
189	429	700
190	431	697
191	433	695
192	435	692
193	437	690
194	439	687
195	441	685
196	444	682
197	445	680
198	447	677
199	449	674
200	451	671
201	453	668
202	455	666
203	457	663
204	459	660
205	461	658
206	463	656
207	465	653
208	467	651
209	469	648
210	471	645
211	473	643
212	475	640
213	478	639
214	480	637
215	483	636
216	485	633
217	488	631
218	490	629
219	492	627
220	495	625
221	498	623
222	500	621
223	502	619
224	504	616
225	507	614
226	509	612
227	512	610
228	514	608
229	516	606
230	519	604
231	521	602
232	523	599
233	526	598
234	528	595
235	530	593
236	533	591
237	535	589
238	538	587
239	540	585
240	542	583
241	544	580
242	546	578
243	548	575
244	550	573
245	552	570
246	554	568
247	556	565
248	558	562
249	560	560
250	562	557
251	564	555
252	565	552
253	567	549
254	569	547
255	571	544
256	573	542
257	575	539
258	577	537
259	579	534
260	580	531
261	582	529
262	584	527
263	586	524
264	588	522
265	590	519
266	592	517
267	594	514
268	596	512
269	598	509
270	600	507
271	602	505
272	604	502
273	606	500
274	608	497
275	610	495
276	612	492
277	614	490
278	616	488
279	618	485
280	620	483
281	622	481
282	624	478
283	626	476
284	628	473
285	630	471
286	632	469
287	634	466
288	636	464
289	637	461
290	639	459
291	641	457
292	643	454
293	645	452
294	647	450
295	649	447
296	651	445
297	653	443
298	655	440
299	657	438
300	659	436
301	661	433
302	663	431
303	665	429
304	667	426
305	669	424
306	671	422
307	673	420
308	676	417
309	677	415
310	679	413
311	681	410
312	683	408
313	685	406
314	687	403
315	689	401
316	691	399
317	693	396
318	695	394
319	697	392
320	699	390
321	702	388
322	704	385
323	706	383
324	708	381
325	711	379
326	713	377
327	715	375
328	717	373
329	719	370
330	722	368
331	724	366
332	726	364
333	728	362
334	731	360
335	733	358
336	736	356
337	738	353
338	740	351
339	742	349
340	745	347
341	747	345
342	750	343
343	752	341
344	755	339
345	757	337
346	759	334
347	762	333
348	764	330
349	767	328
350	769	326
351	772	324
352	774	322
353	777	320
354	780	318
355	783	316
356	785	314
357	788	312
358	790	310
359	793	308
360	795	306
361	797	304
362	799	301
363	801	299
364	803	297
365	805	294
366	807	292
367	809	290
368	812	288
369	814	286
370	816	283
371	818	281
372	820	279
373	822	277
374	824	274
375	826	272
376	828	270
377	830	268
378	832	265
379	834	263
380	836	261
381	838	258
382	840	256
383	842	254
384	844	252
385	846	249
386	848	247
387	850	245
388	851	243
389	853	240
390	855	238
391	857	236
392	859	234
393	861	231
394	863	229
395	865	227
396	867	225
397	869	222
398	870	220
399	873	218
400	875	216
401	876	213
402	878	211
403	880	209
404	882	206
405	884	204
406	886	202
407	888	200
408	890	198
409	892	195
410	893	193
411	895	191
412	897	189
413	899	186
414	901	184
415	903	182
416	905	180
417	907	178
418	909	175
419	911	173
420	912	171
421	914	169
422	916	166
423	919	164
424	921	162
425	923	160
426	925	158
427	927	156
428	929	153
429	931	151
430	933	149
431	936	147
432	938	145
433	940	143
434	942	140
435	944	138
436	946	136
437	948	134
438	950	132
439	952	129
440	954	127
441	956	125
442	958	123
443	960	121
444	962	118
445	964	116
446	966	114
447	968	112
448	971	110
449	973	108
450	975	106
451	978	103
452	980	101
453	982	99
454	984	97
455	987	95
456	989	93
457	992	90
458	994	88
459	996	86
460	998	84
461	1000	82
462	1002	80
463	1004	77
464	1006	75
465	1008	73
466	1010	71
467	1013	69
468	1015	67
469	1017	64
470	1019	62
471	1021	60
472	1024	58
473	1026	56
474	1028	54
475	1030	51
476	1033	49
477	1035	47
478	1037	45
479	1039	43
480	1042	41
481	1043	38
482	1046	36
483	1048	34
484	1049	32
485	1051	30
486	1054	28
487	1056	25
488	1058	23
489	1060	21
490	1062	19
491	1064	17
492	1066	15
493	1068	12
494	1070	10
495	1072	8
496	1075	6
497	1077	4
498	1078	2
499	1080	0
