table,column,dtype,null_count,null_pct,unique,sample
promotions,promo_id,object,0,0.0,50,PROMO-0001
promotions,promo_name,object,0,0.0,50,Spring Sale 2013
promotions,promo_type,object,0,0.0,2,percentage
promotions,discount_value,float64,0,0.0,6,12.0
promotions,start_date,object,0,0.0,50,2013-03-18
promotions,end_date,object,0,0.0,50,2013-04-17
promotions,applicable_category,object,40,80.0,2,
promotions,promo_channel,object,0,0.0,5,email
promotions,stackable_flag,int64,0,0.0,2,1
promotions,min_order_value,int64,0,0.0,5,0
